Product Name,Purpose,RAM,SSD,Operating System,Price,Product Rating
Ультрабук Asus Zenbook 14 OLED Ryzen 7 8840HS / 16ГБ / 1000SSD / 14 / Win11 / (UM3406HA-QD111W),Both,16.0,1000.0,Win11,527 990 ₸,
"Apple MacBook Air 15 Midnight 2024 M3 / 8ГБ / 256SSD / 15,3 / Mac OS Sonoma / (MRYU3RU/A)",For study,8.0,256.0,MacOS,849 990 ₸,
Asus Vivobook 17 i5 1335U / 16ГБ / 512 SSD / 17.3 / DOS / (X1704VA-AU466),For study,16.0,512.0,DOS,327 990 ₸,
HP 15s-eq2012ci (Ryzen 7 5700U / 8ГБ / 512SSD / 15.6 / Win11 / (A27S7EA),For study,8.0,512.0,Win11,269 990 ₸,5.0
HP Victus 15-fb1003ci Ryzen 5 7535HS / 16ГБ / 512SSD / RTX2050 4ГБ / 15.6 / DOS / (9L6Q6EA)),For study,16.0,512.0,DOS,389 990 ₸,
Asus ROG Strix G16 i7 13650HX / 16ГБ / 512SSD / RTX4050 6ГБ / 16 / DOS / (G614JU-N3255),For game,16.0,512.0,DOS,718 990 ₸,
Asus Vivobook Go 15 Ryzen 5 7520U / 16ГБ / 512SSD / 15.6 / Win11 / (E1504FA-BQ1187W),For study,16.0,512.0,Win11,299 990 ₸,5.0
Asus TUF Gaming F17 i7 13620H / 16ГБ / 1000SSD / RTX4060 8ГБ / 17.3 / DOS / (FX707VV-HX131),For game,16.0,1000.0,DOS,690 990 ₸,
HP 15-fc0055ci Ryzen 5 7520U / 16GB / 512SSD / Win11 / 15.6 / (B49DREA),For study,,512.0,Win11,289 900 ₸,
Dell Vostro 3520 Ci3 1215U / 8GB / SSD 512GB / DOS / 15.6 / (N5390PVNB3520),For study,,,DOS,229 990 ₸,
Apple MacBook Space Black M3 Pro / 36ГБ / 512SSD / 16.2 / Mac OS Sonoma / (MRW23RU/A),For study,36.0,512.0,MacOS,1 849 990 ₸,
Asus Vivobook 16X i5 1335U/ 8ГБ / 512SSD / 16 / Win11 / (K3604VA-MB251W),For study,8.0,512.0,Win11,349 990 ₸,
"Apple MacBook Air 13 Starlight 2024 M3 / 8ГБ / 256SSD / 13,6 / Mac OS Sonoma / (MRXT3RU/A)",For study,8.0,256.0,MacOS,719 990 ₸,
Apple MacBook Air Retina Gold M1 / 8ГБ / 256SSD / 13 / Mac OS Big Sur / (MGND3UA/A),For study,8.0,256.0,MacOS,439 990 ₸,
Asus ROG Strix G16 i7 13650HX / 16ГБ / 1000SSD / RTX4070 8ГБ / 16 / DOS / D)(G614JI-N4148),For game,16.0,1000.0,DOS,954 990 ₸,
Asus ExpertBook B1 i3 1215U / 8ГБ / 256SSD / 15.6 / DOS / (B1500CBA-BQ0558),For study,8.0,256.0,DOS,199 990 ₸,
Gigabyte G6X 9KG / Intel Core i7 13650HX / 16 Гб / 1Тб / RTX4060 8 Гб / 16'' / DOS / G6X 9KG-43KZ854SD,For game,,,DOS,639 990 ₸,
